File,Line,Column,Type,Message,Source,Severity
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",91,1,error,"Last parameter comment requires a blank newline after it",PEAR.Commenting.FunctionComment.SpacingAfterParams,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",117,1,error,"The comments for parameters $method (1) and $arguments (2) do not align",PEAR.Commenting.FunctionComment.ParameterCommentsNotAligned,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",136,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",137,17,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",138,95,warning,"Line exceeds 85 characters; contains 94 characters",Generic.Files.LineLength.TooLong,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",139,19,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",141,19,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",142,88,warning,"Line exceeds 85 characters; contains 87 characters",Generic.Files.LineLength.TooLong,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",145,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",146,17,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",148,19,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",150,19,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",151,88,warning,"Line exceeds 85 characters; contains 87 characters",Generic.Files.LineLength.TooLong,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",155,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",158,1,warning,"Line exceeds 85 characters; contains 94 characters",Generic.Files.LineLength.TooLong,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",181,1,error,"Missing @return tag in function comment",PEAR.Commenting.FunctionComment.MissingReturn,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",182,34,error,"Opening brace should be on a new line",PEAR.Functions.FunctionDeclaration.BraceOnSameLine,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",186,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",196,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",201,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",210,1,error,"Extra newline(s) found before function comment short description",PEAR.Commenting.FunctionComment.SpacingBeforeShort,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",212,1,error,"Missing comment for param \"$name\" at position 1",PEAR.Commenting.FunctionComment.MissingParamComment,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",212,1,error,"There must be exactly one blank line before the tags in function comment",PEAR.Commenting.FunctionComment.SpacingBeforeTags,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",213,1,error,"The comments for parameters $name (1) and $value (2) do not align",PEAR.Commenting.FunctionComment.ParameterCommentsNotAligned,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",213,1,error,"Missing comment for param \"$value\" at position 2",PEAR.Commenting.FunctionComment.MissingParamComment,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",214,1,error,"Missing @return tag in function comment",PEAR.Commenting.FunctionComment.MissingReturn,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",215,42,error,"Opening brace should be on a new line",PEAR.Functions.FunctionDeclaration.BraceOnSameLine,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",219,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",222,91,warning,"Line exceeds 85 characters; contains 90 characters",Generic.Files.LineLength.TooLong,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",224,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",229,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\CommandProxy.php",7,1,error,"@category tag comment indented incorrectly; expected 2 spaces but found 4",PEAR.Commenting.FileComment.TagIndent,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\CommandProxy.php",8,1,error,"@package tag comment indented incorrectly; expected 3 spaces but found 5",PEAR.Commenting.FileComment.TagIndent,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\CommandProxy.php",9,1,error,"@author tag comment indented incorrectly; expected 4 spaces but found 6",PEAR.Commenting.FileComment.TagIndent,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\CommandProxy.php",10,1,error,"@copyright tag comment indented incorrectly; expected 1 spaces but found 3",PEAR.Commenting.FileComment.TagIndent,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\CommandProxy.php",11,1,error,"@license tag comment indented incorrectly; expected 3 spaces but found 5",PEAR.Commenting.FileComment.TagIndent,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\CommandProxy.php",12,1,warning,"Invalid version \"Hg: $Revision: de3cf362e5e3 $\" in file comment; consider \"CVS: <cvs_id>\" or \"SVN: <svn_id>\" instead",PEAR.Commenting.FileComment.InvalidVersion,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\CommandProxy.php",12,1,error,"@version tag comment indented incorrectly; expected 3 spaces but found 5",PEAR.Commenting.FileComment.TagIndent,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\CommandProxy.php",13,1,error,"@link tag comment indented incorrectly; expected 6 spaces but found 8",PEAR.Commenting.FileComment.TagIndent,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\CommandProxy.php",28,1,error,"@category tag comment indented incorrectly; expected 2 spaces but found 4",PEAR.Commenting.ClassComment.TagIndent,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\CommandProxy.php",29,1,error,"@package tag comment indented incorrectly; expected 3 spaces but found 5",PEAR.Commenting.ClassComment.TagIndent,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\CommandProxy.php",30,1,error,"@author tag comment indented incorrectly; expected 4 spaces but found 6",PEAR.Commenting.ClassComment.TagIndent,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\CommandProxy.php",31,1,error,"@copyright tag comment indented incorrectly; expected 1 spaces but found 3",PEAR.Commenting.ClassComment.TagIndent,5
