File,Line,Column,Type,Message,Source,Severity
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",143,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",144,17,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",148,19,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",150,19,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",156,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",157,17,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",159,19,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",161,19,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",168,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",198,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",208,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",213,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",234,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",241,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg.php",246,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Abstract.php",169,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Abstract.php",175,13,error,"Line indented incorrectly; expected 8 spaces, found 12",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Abstract.php",177,17,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Abstract.php",180,19,error,"Line indented incorrectly; expected 12 spaces, found 16",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Abstract.php",268,91,warning,"Line exceeds 85 characters; contains 90 characters",Generic.Files.LineLength.TooLong,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Abstract.php",269,89,warning,"Line exceeds 85 characters; contains 88 characters",Generic.Files.LineLength.TooLong,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Abstract.php",649,1,error,"Missing comment for param \"$filter\" at position 1",PEAR.Commenting.FunctionComment.MissingParamComment,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Abstract.php",653,42,error,"Opening brace should be on a new line",PEAR.Functions.FunctionDeclaration.BraceOnSameLine,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Abstract.php",687,9,error,"Expected \"if (...) {\n\"; found \"if (...)\n        {\n\"",PEAR.ControlStructures.ControlSignature,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Abstract.php",688,1,error,"Each line in a multi-line IF statement must begin with a boolean operator",PEAR.ControlStructures.MultiLineCondition.StartWithBoolean,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Abstract.php",689,1,error,"Closing parenthesis of a multi-line IF statement must be on a new line",PEAR.ControlStructures.MultiLineCondition.CloseBracketNewLine,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Abstract.php",689,69,error,"There must be a single space between the closing parenthesis and the opening brace of a multi-line IF statement; found newline",PEAR.ControlStructures.MultiLineCondition.NewlineBeforeOpenBrace,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Add.php",102,67,error,"Arguments with default values must be at the end of the argument list",PEAR.Functions.ValidDefaultValue.NotAtEnd,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Add.php",114,1,error,"Doc comment for \"$hg\" missing",PEAR.Commenting.FunctionComment.MissingParamTag,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Archive.php",123,67,error,"Arguments with default values must be at the end of the argument list",PEAR.Functions.ValidDefaultValue.NotAtEnd,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Archive.php",139,21,error,"Line indented incorrectly; expected 16 spaces, found 20",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Archive.php",140,21,error,"Line indented incorrectly; expected 16 spaces, found 20",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Archive.php",141,21,error,"Line indented incorrectly; expected 16 spaces, found 20",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Archive.php",142,21,error,"Line indented incorrectly; expected 16 spaces, found 20",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Archive.php",145,21,error,"Line indented incorrectly; expected 16 spaces, found 20",PEAR.WhiteSpace.ScopeIndent.Incorrect,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Backout.php",96,67,error,"Arguments with default values must be at the end of the argument list",PEAR.Functions.ValidDefaultValue.NotAtEnd,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Backout.php",108,1,error,"Doc comment for \"$hg\" missing",PEAR.Commenting.FunctionComment.MissingParamTag,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Branch.php",96,67,error,"Arguments with default values must be at the end of the argument list",PEAR.Functions.ValidDefaultValue.NotAtEnd,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Branch.php",108,1,error,"Doc comment for \"$hg\" missing",PEAR.Commenting.FunctionComment.MissingParamTag,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Bundle.php",96,67,error,"Arguments with default values must be at the end of the argument list",PEAR.Functions.ValidDefaultValue.NotAtEnd,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Bundle.php",108,1,error,"Doc comment for \"$hg\" missing",PEAR.Commenting.FunctionComment.MissingParamTag,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Cat.php",138,67,error,"Arguments with default values must be at the end of the argument list",PEAR.Functions.ValidDefaultValue.NotAtEnd,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Cat.php",157,1,error,"Doc comment for \"$hg\" missing",PEAR.Commenting.FunctionComment.MissingParamTag,5
"H:\Development\_Webroot\Trunk\VersionControl\Hg\Command\Cat.php",242,92,warning,"Line exceeds 85 characters; contains 91 characters",Generic.Files.LineLength.TooLong,5
